Student ID,Last Name,First Name,Section,Quiz 1,Quiz 2,Quiz 3,Quiz 4,Quiz 5,Midterm,Final,Attendance %,Final Grade,Letter
2024-00042,Delos Santos,Crisitina,2,84.0,84.0,91.0,83.0,75.0,94.0,81.0,90.0,86.52,B
2024-02367,Jones,Wade,2,88.0,66.0,90.0,75.0,66.0,91.0,88.0,80.0,84.8,B
2024-00324,Brooke,Isabella,2,90.0,95.0,90.0,88.0,92.0,92.0,94.0,75.0,90.6,A
2024-09435,Fujiwara,Mizuki,2,95.0,84.0,88.0,91.0,84.0,94.0,81.0,60.0,85.02,B
2024-03264,Cuinto,Jasmine,2,34.0,38.0,42.0,40.0,45.0,48.0,52.0,50.0,46.94,F
2024-20001,Allen,Christopher,2,40.0,45.0,48.0,42.0,50.0,52.0,55.0,60.0,51.6,F
2024-20002,Bell,Hannah,2,48.0,50.0,52.0,48.0,54.0,56.0,58.0,65.0,55.82,F
2024-20003,Cooper,Joshua,2,45.0,48.0,50.0,46.0,52.0,54.0,56.0,70.0,54.46,F
2024-20004,Dean,Grace,2,50.0,52.0,54.0,50.0,56.0,58.0,60.0,75.0,58.62,F
2024-20005,Edwards,Tyler,2,77.0,80.0,82.0,79.0,83.0,81.0,84.0,80.0,81.56,B
2024-20006,Ford,Lily,2,93.0,95.0,94.0,92.0,96.0,97.0,98.0,100.0,96.7,A
2024-20007,Gray,Jacob,2,87.0,89.0,88.0,86.0,90.0,91.0,92.0,95.0,90.8,A
2024-20008,Hughes,Zoe,2,80.0,83.0,85.0,82.0,86.0,84.0,87.0,85.0,84.76,B
2024-20009,Jenkins,Mason,2,92.0,94.0,93.0,91.0,95.0,96.0,97.0,100.0,95.8,A
2024-20010,Kelly,Ella,2,85.0,87.0,86.0,84.0,88.0,89.0,90.0,90.0,88.5,B
2024-20011,Lewis,Logan,2,78.0,81.0,83.0,80.0,84.0,82.0,85.0,85.0,82.96,B
2024-20012,Morgan,Aria,2,90.0,92.0,91.0,89.0,93.0,94.0,95.0,95.0,93.5,A
2024-20013,Murphy,Jackson,2,83.0,85.0,84.0,82.0,86.0,87.0,88.0,90.0,86.7,B
2024-20014,Perry,Scarlett,2,95.0,97.0,96.0,94.0,98.0,99.0,100.0,100.0,98.5,A
2024-20015,Ross,Lucas,2,86.0,88.0,87.0,85.0,89.0,90.0,91.0,90.0,89.4,B
2024-20016,Sanders,Chloe,2,79.0,82.0,84.0,81.0,85.0,83.0,86.0,85.0,83.86,B
2024-20017,Thompson,Aiden,2,91.0,93.0,92.0,90.0,94.0,95.0,96.0,95.0,94.4,A
2024-20018,Walker,Madison,2,84.0,86.0,85.0,83.0,87.0,88.0,89.0,90.0,87.6,B
2024-20019,White,Carter,2,77.0,80.0,82.0,79.0,83.0,81.0,84.0,80.0,81.56,B
2024-20020,Young,Avery,2,93.0,95.0,94.0,92.0,96.0,97.0,98.0,100.0,96.7,A
2024-20021,Bailey,Grayson,2,87.0,89.0,88.0,86.0,90.0,91.0,92.0,95.0,90.8,A
2024-20022,Campbell,Layla,2,80.0,83.0,85.0,82.0,86.0,84.0,87.0,85.0,84.76,B
2024-20023,Collins,Wyatt,2,92.0,94.0,93.0,91.0,95.0,96.0,97.0,100.0,95.8,A
2024-20024,Duncan,Penelope,2,85.0,87.0,86.0,84.0,88.0,89.0,90.0,90.0,88.5,B
2024-20025,Fletcher,Nathan,2,78.0,81.0,83.0,80.0,84.0,82.0,85.0,85.0,82.96,B
2024-20026,Graham,Victoria,2,90.0,92.0,91.0,89.0,93.0,94.0,95.0,95.0,93.5,A
2024-20027,Hayes,Isaac,2,83.0,85.0,84.0,82.0,86.0,87.0,88.0,90.0,86.7,B
2024-20028,Hunter,Aubrey,2,95.0,97.0,96.0,94.0,98.0,99.0,100.0,100.0,98.5,A
2024-20029,Jordan,Elijah,2,86.0,88.0,87.0,85.0,89.0,90.0,91.0,90.0,89.4,B
2024-20030,Knight,Addison,2,79.0,82.0,84.0,81.0,85.0,83.0,86.0,85.0,83.86,B
2024-20031,Lawrence,Luke,2,91.0,93.0,92.0,90.0,94.0,95.0,96.0,95.0,94.4,A
2024-20032,Mitchell,Natalie,2,84.0,86.0,85.0,83.0,87.0,88.0,89.0,90.0,87.6,B
2024-20033,Palmer,Henry,2,77.0,80.0,82.0,79.0,83.0,81.0,84.0,80.0,81.56,B
2024-20034,Reynolds,Brooklyn,2,93.0,95.0,94.0,92.0,96.0,97.0,98.0,100.0,96.7,A
2024-20035,Shaw,Sebastian,2,87.0,89.0,88.0,86.0,90.0,91.0,92.0,95.0,90.8,A
2024-20036,Stevens,Samantha,2,80.0,83.0,85.0,82.0,86.0,84.0,87.0,85.0,84.76,B
2024-20037,Tucker,Jack,2,92.0,94.0,93.0,91.0,95.0,96.0,97.0,100.0,95.8,A
2024-20038,Wallace,Leah,2,85.0,87.0,86.0,84.0,88.0,89.0,90.0,90.0,88.5,B
2024-20039,Wells,Owen,2,78.0,81.0,83.0,80.0,84.0,82.0,85.0,85.0,82.96,B
2024-20040,Woods,Nora,2,90.0,92.0,91.0,89.0,93.0,94.0,95.0,95.0,93.5,A
2024-20041,Barnes,Gabriel,2,83.0,85.0,84.0,82.0,86.0,87.0,88.0,90.0,86.7,B
2024-20042,Bennett,Stella,2,95.0,97.0,96.0,94.0,98.0,99.0,100.0,100.0,98.5,A
2024-20043,Brooks,Julian,2,86.0,88.0,87.0,85.0,89.0,90.0,91.0,90.0,89.4,B
2024-20044,Butler,Hazel,2,79.0,82.0,84.0,81.0,85.0,83.0,86.0,85.0,83.86,B
